Shard_ID,Address_Count,First_Source_Row,Last_Source_Row,First_Address_ID,Last_Address_ID,Shard_SHA256,Assignment_Status,Host_Domain,Public_URL,First_Verified_UTC,Last_Verified_UTC
MAPAE-HAS-00001,100,1,100,MAPAE-0000001,MAPAE-0000100,f6c97c6efc2145bd6db56e783e4efb8c6b624cb5cd88407fcc0cdd7bb16e8f50,UNASSIGNED,,,,
MAPAE-HAS-00002,100,101,200,MAPAE-0000101,MAPAE-0000200,27c61db6b42d5147c812022821b707dd42bcd3592e557e01b7165f623ae1e939,UNASSIGNED,,,,
MAPAE-HAS-00003,100,201,300,MAPAE-0000201,MAPAE-0000300,cb75fa7310667f6d38c42d642cce41b4db2afc0eb2fd227a21ad3c7409fd2f87,UNASSIGNED,,,,
MAPAE-HAS-00004,100,301,400,MAPAE-0000301,MAPAE-0000400,98df2e4eec8e0d7e19b20cacd7abca37f60f71b919f70364b40a2ae904601cfc,UNASSIGNED,,,,
MAPAE-HAS-00005,100,401,501,MAPAE-0000401,MAPAE-0000501,a5762a38a25970424209cbfe73692a25379b5f0e3dbdc13032d00b2f18b15436,UNASSIGNED,,,,
MAPAE-HAS-00006,100,502,601,MAPAE-0000502,MAPAE-0000601,dd9b81a848f37db602be5c1ecd071ab13e3d1d5a6a2a9855cdcc2686308c1d68,UNASSIGNED,,,,
MAPAE-HAS-00007,100,602,701,MAPAE-0000602,MAPAE-0000701,85611733b1703fa599fc26eae6a61db8c90170a650e547723af294eda4941fb3,UNASSIGNED,,,,
MAPAE-HAS-00008,100,702,801,MAPAE-0000702,MAPAE-0000801,af9ebabdb9227a35413d376eeebd505d7bc342535f1881456b0fd85928317426,UNASSIGNED,,,,
MAPAE-HAS-00009,100,802,901,MAPAE-0000802,MAPAE-0000901,c4c355130e2f1d79d4fb23bc57cd271ccf8275a5006e1f1cffe35fa6ca1db6d4,UNASSIGNED,,,,
MAPAE-HAS-00010,100,902,1001,MAPAE-0000902,MAPAE-0001001,feec63ef512345486cf17104a41bdd7ad326004cdd91517c2045e3fb2f56dd1a,UNASSIGNED,,,,
